Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Target,loan_type__auto_loan,loan_type__builder_loan,loan_type__credit,loan_type__debt_consolidation_loan,loan_type__home_equity_loan,loan_type__mortgage_loan,loan_type__not_specified,loan_type__payday_loan,loan_type__personal_loan,loan_type__student_loan,month2_balance,month2_credit_util,month2_delayed_payment,month2_delay_from_due_date,month3_balance,month3_credit_util,month3_delayed_payment,month3_delay_from_due_date,max_delayed_payment,max_credit_util,credit_util_var,balance_m1_m2,balance_m2_m3
23,Scientist,19114.12,1824.8433333333328,3,4,3,4,3,6.0,11.27,4.0,Good,809.98,23.93379480196552,0,No,49.57494921489417,24.785216509052056,High_spent_Medium_value_payments,358.12416760938714,Standard,0.4521601494371064,0.4444002564784758,0.4444002564784758,0.0,0.4465501763499808,0.0,0.0,0.0,0.44850971377055404,0.0,244.5653167062043,22.53759303178384,8.0,3,340.4792117872438,27.26225871052017,4.0,8,8.0,31.94496005538421,11.466896675877761,0.4643293351346332,-0.28170264662435096
28,Teacher,34847.84,3037.986666666666,2,4,6,1,3,4.0,5.42,2.0,Good,605.03,32.933856293622235,326,No,18.816214573128885,218.90434353388733,Low_spent_Small_value_payments,356.07810855965045,Good,0.0,0.7071067811865475,0.7071067811865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.8806778859809,31.131701611553307,4.0,3,481.505261949182,33.38101020065065,0.0,3,4.0,39.18265565546884,21.09325698546056,-0.23404407733421856,-0.034526277025308305
34,Engineer,143162.64,12187.22,1,5,8,3,8,6.0,7.1,3.0,Good,1303.01,38.37475294778511,220,No,246.9923194537421,10000.0,High_spent_Small_value_payments,895.494583180492,Standard,0.8973634057709308,0.0,0.0,0.0,0.0,0.0,0.44129232712930316,0.0,0.0,0.0,968.5555173846188,38.068623627698585,6.0,8,963.9215811205684,39.783993458021186,6.0,8,8.0,41.70257342393906,33.246935137415214,-0.07543288215569985,0.004807378893481646
55,Entrepreneur,30689.89,2612.4908333333333,2,5,4,100,4,9.0,1.99,4.0,Good,632.46,27.332514927554215,214,No,16.415451659824875,125.61725053231268,High_spent_Small_value_payments,379.21638114119577,Standard,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,443.5499567906391,26.05639527857161,,5,419.8807835023488,27.4454217928553,6.0,5,9.0,41.15431654696947,34.21332293567847,-0.14504245725766027,0.05637117538663905
21,Developer,35547.71,2853.3091666666664,7,5,5,100,1,15.0,2.58,4.0,Standard,943.86,25.86292247432155,375,Yes,0.0,181.33090096186916,High_spent_Small_value_payments,364.00001570479753,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.31893393507744,26.263822692130155,15.0,10,497.6872787770267,29.217556326688413,15.0,5,17.0,41.77618715055719,45.49438104148544,-0.07688932896960955,-0.20769738197037624
31,Lawyer,73928.46,5988.705000000001,4,5,8,0,8,7.0,10.14,,Good,548.2,31.58098966831768,390,No,0.0,42.63559025189578,!@9#%8,796.2349097481042,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.36110048740534,36.62479126183763,4.0,8,633.0801749681799,35.2754365244368,7.0,7,10.0,42.76986440325711,32.66741480143586,0.5601402790841299,-0.1938444439315174
34,Lawyer,131313.4,10469.207759388815,0,1,8,2,0,2.0,9.34,4.0,Good,352.16,29.187912654166695,374,No,911.2201793459374,870.52238171816,Low_spent_Medium_value_payments,396.1113462137519,Good,0.0,0.5763050352398641,0.5763050352398641,0.0,0.0,0.5794350806728549,0.0,0.0,0.0,0.0,326.24183015224526,26.94756515223988,2.0,0,1140.0673399198365,41.98016961054943,3.0,0,4.0,42.64578489930634,38.158303794617645,0.21416479924999526,-0.7138398595163818
30,Media_Manager,34081.38,2611.115,8,7,15,3,30,14.0,17.13,9.0,_,1704.18,33.82348834412097,182,Yes,70.47833267207261,29.32636371091455,High_spent_Medium_value_payments,411.3068036170128,Poor,0.5819146545244173,0.0,0.0,0.0,0.0,0.0,0.5723310543627769,0.0,0.0,0.5777650898606804,395.1733866886683,38.438505084064886,11.0,30,410.6743660782873,31.17087232096111,14.0,30,14.0,38.438505084064886,18.55629910930464,0.040826172692279464,-0.037745183702710114
24,Doctor,114838.41,9843.8675,2,5,7,3,11,11.0,8.24,8.0,Good,1377.74,27.813353640375272,263,No,226.89279192154316,254.57176724837916,High_spent_Large_value_payments,742.9221908300779,Standard,0.5802874174081091,0.0,0.0,0.576149456380034,0.0,0.0,0.0,0.0,0.575602568714576,0.0,792.0256603398883,31.76751564697107,,11,491.11338755538793,26.114213868949623,14.0,13,14.0,35.14156730186042,9.717688747538464,-0.06199732151195491,0.6127144574134896
45,Journalist,31370.8,,1,6,12,2,-2,2.0,5.76,5.0,_,421.43,37.56505276771999,324,No,46.616129073342066,252.6448271968889,Low_spent_Small_value_payments,273.2623770631024,Good,0.0,0.0,0.0,0.0,0.0,0.0,0.7084730777491014,0.7057378395018334,0.0,0.0,337.51230376982244,22.762202172732568,2.0,-1,378.18977936486505,25.502468550245663,0.0,1,2.0,37.56505276771999,20.705851279636246,-0.19036321339721402,-0.10755836834976526
